"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
5996,"Air Astana",35,85,42,100,912,270,791,1107,19,1996
5997,"Finnair",22,90,33,118,1080,160,197,275,18,2016
5998,"Citilink",20,86,76,102,1056,170,315,441,20,1996
5999,"Emirates",37,80,47,54,993,222,781,1093,17,2018
6000," Austrian Airlines",33,110,68,100,1220,189,413,578,11,2010
6001,"Royal Brunei Airlines",33,92,75,109,963,240,607,849,8,2020
6002,"Vueling Airlines",22,93,39,69,900,243,809,1132,24,2019
6003,"Air Canada rouge",27,80,60,58,993,156,457,639,20,2017
6004,"Wizz Air",23,52,60,102,1126,203,468,655,6,1991
6005," Gulf Air",21,119,32,96,986,170,346,484,21,1986
6006,"IndiGo",25,79,57,54,1097,136,384,537,12,2018
6007,"KLM Royal Dutch Airlines",27,91,50,66,1077,129,294,411,6,1998
6008,"Egyptair",26,64,48,105,985,235,603,844,5,2008
6009,"Norwegian",22,86,35,98,926,191,435,609,25,1981
6010,"American Airlines",36,105,57,87,1105,230,664,929,24,2010
6011," Qantas Airways",31,117,80,81,897,221,650,910,5,1982
6012,"Air France",22,108,38,99,876,262,758,1061,5,1996
6013,"Vietnam Airlines",39,82,49,91,1111,223,615,861,21,1984
6014,"United Airlines",31,67,68,94,943,234,649,908,20,2019
6015,"LEVEL",23,112,42,108,955,210,477,667,12,2013
6016,"Air Canada rouge",30,65,54,85,1185,197,523,732,9,2018
6017,"Air Dolomiti",38,89,31,50,1143,133,387,541,21,2001
6018," Air Canada",21,75,73,104,1083,239,629,880,13,1987
6019,"airBaltic",20,77,69,104,822,245,655,917,23,1998
6020,"JetBlue Airways",20,101,80,103,1034,265,751,1051,24,1993
6021,"Virgin Atlantic",39,62,56,97,1277,177,373,522,8,2010
6022,"China Eastern Airlines",39,75,57,68,1169,193,582,814,19,2014
6023,"Delta Air Lines",20,90,73,104,821,150,214,299,4,2007
6024,"Rex Airlines",25,92,61,67,1282,196,599,838,18,2009
6025,"Delta Air Lines",37,71,72,61,868,103,198,277,14,1987
6026,"WestJet",28,104,80,105,1222,203,454,635,14,1988
6027,"Iberia",24,94,37,117,974,204,403,564,12,1989
6028,"WestJet",26,85,49,117,924,243,586,820,25,2009
6029,"Peach",38,94,57,86,959,134,226,316,24,2007
6030,"Scoot",24,50,49,84,1254,239,721,1009,24,2004
6031,"Jet2.com",36,91,62,106,1136,146,189,264,24,2003
6032,"Air Mauritius",25,86,54,75,852,147,334,467,12,2019
6033,"JetBlue Airways",26,113,43,73,980,186,526,736,9,2009
6034,"Rex Airlines",38,110,75,85,1250,265,836,1170,24,2010
6035,"Vueling Airlines",31,104,52,76,992,181,490,686,20,2000
6036,"Jetstar Asia",26,52,36,114,1170,249,629,880,22,2012
6037,"Southwest Airlines",37,86,49,78,1117,180,476,666,24,2008
6038,"Finnair",38,92,30,77,838,216,645,903,11,1981
6039,"American Airlines",31,94,41,74,1237,225,700,980,12,2000
6040,"Sky Airline",23,103,35,72,847,246,810,1134,23,2002
6041,"Buta Airways",30,63,51,97,1002,180,388,543,7,1983
6042,"Royal Brunei Airlines",24,78,33,84,1142,190,493,690,5,1982
6043,"Jetstar Asia",22,114,67,51,895,162,515,721,20,2002
6044,"Thai Airways",36,98,68,68,1025,246,825,1155,19,1988
6045,"ITA Airways",34,58,58,68,1031,235,775,1085,21,2010
6046,"Ryanair",37,62,40,89,1209,279,881,1233,24,2010
6047,"Citilink",40,70,66,69,1153,126,268,375,12,2005
6048,"Air Arabia",31,84,56,120,978,180,282,394,15,2011
6049,"Citilink",32,88,58,66,1062,136,325,455,19,2015
6050,"EVA Air",24,79,34,100,1080,254,716,1002,16,1989
6051,"Air Canada rouge",32,58,75,116,939,184,315,441,22,2012
6052,"JetSmart",33,89,59,119,810,198,370,518,11,2009
6053,"China Eastern Airlines",36,56,44,104,1256,176,334,467,24,2017
6054,"Vietnam Airlines",28,98,74,108,801,255,681,953,13,1994
6055,"Air Dolomiti",28,106,36,83,961,166,389,544,11,2009
6056,"Swiss International Air Lines",28,100,41,97,870,263,771,1079,13,1986
6057,"Singapore Airlines",24,89,53,99,1276,203,483,676,24,2018
6058,"Bangkok Airways",22,50,76,115,837,279,760,1064,20,2009
6059,"Aer Lingus",21,89,64,61,807,190,598,837,20,2011
6060,"Vistara",33,97,64,76,816,219,666,932,17,1984
6061,"Scoot",32,110,31,109,1187,252,666,932,6,2014
6062,"Norwegian",34,112,59,60,981,214,716,1002,18,2005
6063,"Quatar Airways",29,94,57,80,863,124,205,287,21,2013
6064,"Finnair",39,74,37,113,1170,199,402,562,15,2009
6065,"Jet2.com",24,73,57,70,1034,140,328,459,11,1995
6066,"Saudi Arabian Airlines",24,70,56,97,821,249,706,988,13,2007
6067,"Thai Airways",26,78,31,101,848,157,264,369,21,2019
6068,"SunExpress",26,63,37,95,968,211,541,757,22,1985
6069,"JetSmart",35,56,51,92,1082,155,296,414,13,1996
6070,"Vueling Airlines",24,106,55,63,817,216,709,992,20,1987
6071,"American Airlines",24,104,33,71,896,151,372,520,6,1991
6072,"Rex Airlines",27,53,43,115,1144,201,399,558,22,1997
6073,"Philippine Airlines",33,92,71,106,973,150,208,291,7,2019
6074,"Delta Air Lines",28,103,30,57,1002,127,328,459,11,1981
6075,"Rex Airlines",35,90,61,102,1071,148,217,303,15,2008
6076,"Turkish Airlines",26,98,78,108,1009,281,805,1127,22,1987
6077,"TUI Airways",34,117,72,94,1242,238,671,939,21,1986
6078,"Aer Lingus",37,75,73,57,1076,222,766,1072,10,2007
6079,"AirAsia",31,109,78,59,947,91,152,212,23,1982
6080," Qantas Airways",20,107,37,94,999,207,524,733,15,2016
6081,"Philippine Airlines",31,68,74,103,817,244,657,919,22,2008
6082,"Sky Airline",35,69,72,72,1070,241,784,1097,10,1995
6083,"Southwest Airlines",37,102,30,104,906,139,165,231,12,2017
6084,"Peach",31,95,35,64,953,112,227,317,12,2001
6085,"American Airlines",40,58,78,89,1153,220,609,852,17,2010
6086,"EVA Air",26,115,56,106,1158,263,730,1022,7,2016
6087,"Buta Airways",30,96,78,58,1199,121,292,408,12,1990
6088,"Southwest Airlines",25,78,62,103,1137,250,681,953,24,1988
6089,"Peach",33,78,79,77,812,188,517,723,21,2020
6090,"airBaltic",27,76,79,57,1049,230,805,1127,13,1994
6091,"Avianca",25,50,51,54,1006,203,691,967,4,2008
6092,"Bangkok Airways",31,96,55,85,972,258,805,1127,17,2002
6093,"Peach",28,64,67,71,1140,136,305,427,7,2015
6094,"Quatar Airways",30,119,48,95,1237,209,528,739,22,1982
6095,"Air Canada rouge",29,107,35,110,816,162,243,340,10,1987
6096,"TUI Airways",22,56,42,117,899,260,666,932,14,1999
6097,"Garuda Indonesia",23,56,71,109,1106,179,328,459,10,2012
6098,"Jet2.com",37,64,56,72,1212,239,774,1083,22,2004
6099,"Air Transat",38,61,78,68,1275,196,597,835,18,1999
6100,"Japan Airlines",31,111,55,79,1120,219,650,910,23,2010
6101,"Delta Air Lines",37,117,41,103,1021,212,506,708,14,2002
6102,"Scoot",27,59,31,54,1005,247,894,1251,17,1982
6103,"British Airways",35,88,42,101,1047,197,446,624,11,1982
6104," Gulf Air",32,117,34,78,934,222,669,936,22,2005
6105,"TUI Airways",28,115,30,87,1185,163,354,495,17,1991
6106,"ITA Airways",37,77,53,101,898,188,406,568,9,1985
6107,"Alaska Airlines",37,86,51,53,1227,85,151,211,16,1995
6108,"Egyptair",28,76,49,70,1036,125,257,359,7,2017
6109,"ITA Airways",24,100,39,67,931,130,293,410,8,2002
6110,"Alaska Airlines",26,60,71,95,1109,176,377,527,17,1991
6111,"Kenya Airways",27,54,70,106,1120,171,305,427,19,2007
6112,"Air Dolomiti",33,84,46,57,977,187,606,848,18,1999
6113,"Air Astana",22,110,75,61,1121,164,480,672,5,1991
6114,"EasyJet",23,56,69,118,1050,267,693,970,15,1985
6115,"Vistara",27,92,43,109,1017,242,618,865,21,2007
6116,"Norwegian",40,66,45,108,1104,248,649,908,18,2007
6117,"Citilink",21,81,34,61,1270,177,541,757,4,1994
6118,"IndiGo",21,66,69,113,834,302,875,1225,11,2006
6119,"China Southern Airlines",28,99,75,52,1238,136,392,548,10,1992
6120,"Jet2.com",33,84,78,119,1252,274,720,1008,10,2020
6121,"Air Dolomiti",26,92,75,69,1117,151,382,534,24,2000
6122,"Lufthansa",37,78,41,58,866,207,692,968,14,2006
6123,"Swiss International Air Lines",40,110,59,98,1106,172,343,480,15,1986
6124,"Azul Airlines",24,102,71,60,1006,193,620,868,18,1987
6125,"Air Canada rouge",28,108,73,116,1232,249,618,865,15,2010
6126,"Norwegian",37,64,53,87,991,228,654,915,6,2002
6127,"Citilink",21,64,35,78,1039,130,242,338,9,1998
6128,"British Airways",37,112,72,64,901,159,442,618,5,1994
6129,"Virgin Atlantic",25,69,45,75,884,153,364,509,25,1988
6130,"Jetstar Asia",25,60,54,94,1063,267,804,1125,24,2020
6131,"KLM Royal Dutch Airlines",26,119,66,72,878,155,387,541,8,2005
6132,"Japan Airlines",35,96,77,88,990,265,821,1149,4,1996
6133,"Lufthansa",24,75,43,117,1161,227,511,715,18,2001
6134,"Buta Airways",31,102,50,96,1002,259,755,1057,15,1985
6135,"Avianca",29,60,40,105,1268,229,577,807,11,2017
6136,"Ryanair",39,117,51,59,1175,211,704,985,10,2012
6137,"South African Airways",24,88,67,75,899,180,487,681,17,1996
6138,"Air Malta",26,106,35,76,1077,256,834,1167,19,2021
6139," Hainan Airlines",23,76,31,74,905,108,159,222,17,1984
6140,"Aer Lingus",24,50,39,105,899,290,857,1199,12,2019
6141,"Air Malta",27,65,50,81,1235,199,549,768,7,2020
6142,"Korean Air",32,75,39,118,1194,253,629,880,5,2006
6143,"Avianca",29,109,32,55,1170,126,329,460,8,2004
6144,"Lufthansa",37,59,79,50,994,199,691,967,14,2006
6145,"Brussels Airlines",32,118,32,107,1092,145,180,252,20,2013
6146,"Norwegian",23,120,37,63,846,167,485,679,15,1991
6147,"TUI Airways",21,52,50,82,1029,251,786,1100,12,2021
6148,"Ryanair",21,54,32,78,1282,261,851,1191,24,2003
6149,"Royal Air Maroc",26,64,74,68,803,180,519,726,13,2001
6150,"Ryanair",31,114,33,73,1272,258,857,1199,6,1999
6151,"Asiana Airlines",31,106,54,83,949,174,422,590,25,2012
6152,"Garuda Indonesia",38,90,38,87,845,264,824,1153,7,2020
6153,"Singapore Airlines",29,105,34,54,1257,202,688,963,9,2003
6154,"LEVEL",38,100,41,90,1253,248,733,1026,10,2018
6155,"Philippine Airlines",28,106,49,90,1286,198,504,705,18,2019
6156,"China Southern Airlines",31,50,58,55,972,235,834,1167,5,2006
6157,"Citilink",33,68,39,52,944,133,375,525,14,1989
6158,"Air Mauritius",25,51,59,113,1118,290,822,1150,12,2015
6159,"Ryanair",38,56,49,71,965,201,604,845,23,2005
6160,"Virgin Australia",21,54,31,80,928,269,878,1229,5,2020
6161,"Air Mauritius",21,86,72,119,1251,219,465,651,16,2021
6162,"Aer Lingus",29,61,48,101,1275,234,618,865,5,1981
6163,"Copa Airlines",23,63,65,87,1134,197,510,714,22,2019
6164,"EasyJet",35,57,61,75,897,202,590,826,4,1997
6165,"United Airlines",29,86,53,61,1269,114,249,348,23,1992
6166,"Air Canada rouge",23,118,70,110,928,262,705,987,12,2001
6167,"South African Airways",32,108,58,90,1116,161,330,462,5,1984
6168,"Iberia",27,107,36,113,1110,219,493,690,6,2020
6169,"Delta Air Lines",38,60,56,106,1185,239,618,865,23,2019
6170,"JetBlue Airways",29,63,48,69,1124,260,889,1244,7,1992
6171,"Buta Airways",38,70,60,75,861,143,317,443,14,1998
6172,"IndiGo",29,53,52,64,1226,217,711,995,8,1997
6173,"Vueling Airlines",27,89,50,63,1263,182,552,772,23,2017
6174,"Egyptair",25,93,38,64,880,235,793,1110,11,1983
6175,"Copa Airlines",37,68,32,73,1213,145,335,469,22,2002
6176," Aegean Airlines",35,102,45,55,1283,199,669,936,17,2010
6177,"SunExpress",23,55,73,62,870,200,642,898,11,2001
6178,"China Airlines",37,102,56,56,1258,200,671,939,21,1991
6179,"Cathay Pacific Airways",26,71,43,85,1071,125,186,260,7,1999
6180,"Ethiopian Airlines",33,107,61,99,965,283,855,1197,10,2010
6181,"Thai Airways",27,67,70,66,1193,143,361,505,9,2001
6182,"Air Mauritius",21,97,76,84,856,264,835,1169,17,2006
6183,"Japan Airlines",21,53,64,90,1183,134,206,288,10,2022
6184,"LATAM",29,67,46,92,1154,272,835,1169,19,2005
6185,"JetBlue Airways",37,117,64,52,1159,150,457,639,13,1983
6186,"LATAM",21,104,61,56,944,204,686,960,13,2008
6187," Air Canada",36,117,73,71,846,122,239,334,17,2019
6188,"LATAM",30,69,75,54,1298,132,364,509,23,2006
6189,"Aer Lingus",34,92,43,88,1045,123,163,228,5,2017
6190,"Air Astana",39,58,38,81,989,133,245,343,6,1988
6191,"Southwest Airlines",22,106,79,64,1272,185,562,786,16,1989
6192,"Korean Air",26,55,45,55,1067,238,852,1192,23,2019
6193,"Saudi Arabian Airlines",27,111,76,64,1100,189,580,812,17,2021
6194,"Ethiopian Airlines",36,69,50,89,960,258,785,1099,10,2003
6195,"Flynas",29,73,40,65,1140,216,700,980,22,2015
6196,"TAP Portugal",40,116,61,85,807,257,801,1121,20,1983
6197,"Jet2.com",39,81,45,78,926,140,290,406,21,2021
6198,"Citilink",34,117,77,82,803,183,468,655,23,1993
6199,"Swiss International Air Lines",34,52,66,87,1251,191,485,679,16,2018
6200,"Avianca",34,107,50,61,866,179,547,765,25,2017
6201,"Hong Kong Airlines",20,99,76,107,816,225,548,767,24,2017
6202,"Buta Airways",24,101,49,74,836,253,830,1162,4,1991
6203,"Virgin Australia",28,118,51,84,1296,177,433,606,15,1991
6204,"Alaska Airlines",21,54,80,112,1121,279,774,1083,22,1993
6205,"Rex Airlines",24,116,45,70,862,133,294,411,15,2010
6206,"American Airlines",33,83,48,94,1065,218,577,807,14,1986
6207,"Kenya Airways",37,74,34,64,836,117,248,347,13,1996
6208,"Avianca",22,119,52,119,1061,302,851,1191,16,1982
6209,"United Airlines",29,57,34,84,1119,205,562,786,13,2014
6210,"WestJet",27,77,34,112,943,242,605,847,4,2005
6211,"Air Dolomiti",39,68,73,105,876,203,456,638,24,1983
6212,"Jet2.com",37,62,55,77,868,218,653,914,24,2007
6213,"Egyptair",24,102,48,68,968,113,212,296,18,1982
6214,"LEVEL",34,93,52,82,801,245,756,1058,4,2008
6215,"Emirates",34,117,74,51,1041,100,229,320,11,1988
6216,"IndiGo",24,94,40,114,973,256,661,925,24,2021
6217,"Garuda Indonesia",38,92,44,97,1144,181,391,547,12,1988
6218,"TAP Portugal",27,71,39,65,854,231,771,1079,9,1985
6219," Austrian Airlines",26,62,41,75,1210,165,421,589,5,2003
6220,"JetBlue Airways",39,118,77,81,821,211,604,845,7,1981
6221,"EVA Air",33,119,54,69,1187,111,198,277,6,2021
6222,"Air France",36,89,35,112,1247,280,781,1093,14,1990
6223,"Air France",34,50,75,111,1130,224,527,737,15,1986
6224,"Scoot",30,88,61,53,1110,209,727,1017,14,1993
6225,"Jet2.com",22,84,79,58,1200,102,207,289,18,2013
6226,"Saudi Arabian Airlines",37,76,64,101,1218,287,865,1211,19,2007
6227,"Finnair",33,92,49,52,983,109,266,372,24,2011
6228,"Brussels Airlines",31,66,36,89,1194,197,504,705,16,2005
6229,"SunExpress",25,84,72,52,1025,200,688,963,24,1990
6230,"United Airlines",22,94,57,78,899,245,776,1086,9,1988
6231,"American Airlines",25,118,75,92,1150,145,246,344,12,2018
6232,"Sky Airline",37,62,70,97,1068,152,256,358,9,2018
6233,"Thai Airways",26,76,57,115,1176,188,342,478,16,1995
6234,"Royal Air Maroc",29,74,71,62,1084,256,899,1258,7,2011
6235,"airBaltic",27,109,66,86,894,169,386,540,6,2017
6236,"TUI Airways",28,86,78,103,936,226,574,803,21,1985
6237,"Virgin Australia",26,114,67,118,1156,189,330,462,20,1994
6238,"American Airlines",24,75,67,55,909,225,789,1104,11,1989
6239,"Flynas",25,85,42,91,1230,190,461,645,8,2007
6240,"AirAsia",28,109,41,89,1071,263,807,1129,5,2017
6241,"Vueling Airlines",40,89,48,77,1283,183,493,690,18,1991
6242,"Bangkok Airways",34,57,35,66,1112,173,499,698,24,2006
6243,"Air Dolomiti",24,89,70,99,913,166,311,435,24,2012
6244,"Copa Airlines",28,70,35,58,1140,177,552,772,16,1988
6245,"American Airlines",21,88,73,85,911,135,235,329,6,2016
6246,"Ryanair",33,78,75,109,1105,281,797,1115,5,1998
6247,"Air Serbia",32,100,58,83,974,175,429,600,23,1998
6248,"Lufthansa",32,110,77,63,864,170,498,697,24,2000
6249,"Delta Air Lines",25,66,60,114,802,155,194,271,19,2006
6250,"Vistara",31,55,64,87,958,238,700,980,20,2016
6251,"Saudi Arabian Airlines",30,53,46,93,1020,135,196,274,17,1991
6252,"Bangkok Airways",33,71,67,54,859,180,587,821,18,1987
6253,"EVA Air",31,118,46,52,1145,114,289,404,6,2012
6254,"China Airlines",33,91,66,58,904,166,502,702,12,2015
6255,"Korean Air",27,113,71,112,1085,264,708,991,8,1991
6256,"Azul Airlines",36,68,38,90,858,250,745,1043,7,1988
6257,"JetBlue Airways",29,98,33,107,1077,153,215,301,21,1981
6258," Air Canada",28,85,30,101,990,202,472,660,22,1991
6259,"Hong Kong Airlines",24,89,59,97,937,137,188,263,19,1982
6260,"LEVEL",27,101,51,69,1076,200,609,852,19,1998
6261,"Azul Airlines",24,88,59,84,885,162,363,508,7,1998
6262,"Bangkok Airways",33,50,63,61,837,190,600,840,20,2010
6263,"Royal Brunei Airlines",33,95,39,108,999,152,205,287,21,2014
6264,"Philippine Airlines",25,88,57,61,836,210,690,966,16,1989
6265,"Turkish Airlines",21,116,56,88,1176,124,168,235,22,1997
6266,"Scoot",27,108,33,76,1092,155,369,516,19,1998
6267,"Azerbaijan Airlines",29,120,58,106,1009,218,522,730,16,2019
6268,"airBaltic",21,110,34,70,1284,249,833,1166,24,2017
6269,"JetBlue Airways",22,116,49,72,861,121,228,319,4,2002
6270," Aegean Airlines",22,89,38,70,872,179,506,708,16,1993
6271,"WestJet",33,119,48,73,1078,194,564,789,18,2002
6272,"Air Mauritius",21,77,60,89,1221,235,680,952,20,2013
6273,"Azerbaijan Airlines",28,50,60,92,1152,168,353,494,18,1985
6274,"SunExpress",40,81,79,97,1269,240,664,929,20,2010
6275,"Flynas",32,116,64,87,1110,163,353,494,10,2001
6276,"Bangkok Airways",21,109,34,104,1294,279,813,1138,15,2008
6277,"Hong Kong Airlines",20,82,61,109,1186,143,161,225,21,2019
6278,"ITA Airways",27,107,66,80,829,216,632,884,4,2013
6279,"Cathay Pacific Airways",23,57,53,74,1141,130,261,365,20,1986
6280,"Wizz Air",34,64,67,62,1214,123,286,400,16,1988
6281,"Ethiopian Airlines",39,63,42,114,884,228,530,742,20,2018
6282,"KLM Royal Dutch Airlines",32,58,80,95,1196,269,809,1132,21,2001
6283,"Azul Airlines",40,105,74,95,1068,134,183,256,5,1991
6284,"United Airlines",27,115,60,87,914,258,793,1110,11,1987
6285,"IndiGo",28,81,48,109,815,161,244,341,7,1987
6286,"Oman Air",31,88,73,116,959,192,354,495,6,2013
6287,"Royal Brunei Airlines",27,119,59,100,1191,151,238,333,19,1988
6288,"British Airways",34,89,71,65,831,231,770,1078,13,2015
6289,"Rex Airlines",21,82,48,93,1142,242,690,966,8,1998
6290,"JetSmart",34,83,52,119,825,268,693,970,4,1995
6291,"China Airlines",27,87,58,112,849,240,594,831,20,1993
6292,"Malaysia Airlines",21,66,35,109,1041,281,797,1115,18,2007
6293,"Copa Airlines",36,73,55,100,802,144,208,291,11,2011
6294,"IndiGo",36,86,58,102,1080,180,363,508,21,2021
6295,"Air Canada rouge",31,106,38,76,972,164,408,571,22,1996
6296,"Citilink",29,107,51,98,1246,272,806,1128,20,1993
6297,"EasyJet",34,61,54,69,910,118,229,320,17,2011
6298,"Finnair",22,65,30,116,1274,222,495,693,23,2001
6299,"AirAsia",32,85,47,63,1244,111,224,313,8,1996
6300,"Finnair",31,59,75,108,999,200,427,597,10,2020
6301,"United Airlines",32,60,61,91,820,123,151,211,8,1990
6302,"American Airlines",29,51,55,60,917,213,709,992,6,2015
6303,"Hong Kong Airlines",33,105,79,110,1102,171,286,400,6,1990
6304,"Flynas",28,99,35,86,1270,161,351,491,24,2015
6305,"Asiana Airlines",30,85,65,98,1116,258,742,1038,15,1992
6306,"IndiGo",32,71,50,77,895,243,770,1078,8,2010
6307," Gulf Air",35,77,32,52,1138,90,180,252,7,2010
6308,"Iberia",37,79,50,60,896,160,464,649,25,1984
6309,"China Southern Airlines",33,107,50,57,1197,200,666,932,5,2007
6310,"Air New Zealand",30,68,37,54,819,239,857,1199,7,1995
6311,"Air Astana",32,54,37,97,840,146,228,319,24,1987
6312,"China Southern Airlines",36,100,63,109,1054,160,238,333,15,2017
6313,"Air Malta",38,89,54,51,936,180,602,842,23,1994
6314,"Ethiopian Airlines",25,84,73,74,998,236,753,1054,16,1992
6315,"Royal Air Maroc",35,89,31,60,1153,127,314,439,20,1985
6316,"Japan Airlines",21,86,59,91,940,267,816,1142,11,1985
6317,"Air Canada rouge",23,90,55,62,1160,118,264,369,23,1988
6318,"LATAM",39,95,75,109,1103,257,686,960,9,1991
6319,"ANA All Nippon Airways",31,59,64,64,1098,123,274,383,18,1988
6320,"Citilink",37,51,55,112,983,223,516,722,19,1994
6321,"Ryanair",37,94,67,69,1117,116,221,309,5,1997
6322,"Southwest Airlines",30,54,39,97,1111,278,839,1174,7,2005
6323,"LEVEL",33,93,65,113,867,210,453,634,8,1994
6324,"Saudi Arabian Airlines",34,110,61,90,927,187,453,634,7,2018
6325,"Virgin Australia",37,79,59,68,1088,163,443,620,10,1992
6326,"Jet2.com",36,86,44,115,817,215,466,652,10,1990
6327,"Air Serbia",37,63,68,104,1283,252,689,964,24,2014
6328,"Alaska Airlines",36,116,76,83,1283,237,714,999,9,1998
6329,"Aer Lingus",28,68,42,96,1270,254,733,1026,15,2017
6330,"Oman Air",23,99,55,84,904,244,743,1040,13,2006
6331,"LEVEL",40,74,36,86,1071,141,257,359,8,1980
6332,"Azerbaijan Airlines",22,117,37,89,828,217,596,834,10,2004
6333,"American Eagle",34,114,56,99,884,267,779,1090,13,1992
6334,"Bangkok Airways",35,95,32,93,1244,283,880,1232,7,2004
6335,"Asiana Airlines",33,80,72,117,803,178,283,396,25,1982
6336,"South African Airways",26,105,34,116,968,298,843,1180,21,2020
6337,"Citilink",24,61,31,100,1227,205,490,686,11,2018
6338,"Thai Airways",26,113,33,74,1025,182,501,701,9,2009
6339,"Japan Airlines",38,113,74,88,830,155,311,435,22,1992
6340,"SAS Scandinavian",20,119,67,55,1170,126,330,462,19,2018
6341,"Saudi Arabian Airlines",31,109,40,70,1222,163,434,607,23,1988
6342,"EVA Air",23,81,57,74,828,235,747,1045,5,1982
6343,"JetBlue Airways",22,63,75,69,890,113,205,287,7,2005
6344,"Royal Brunei Airlines",26,56,42,85,1227,160,350,490,13,1995
6345,"China Eastern Airlines",39,75,65,54,986,185,610,854,6,1998
6346,"Saudi Arabian Airlines",28,101,69,110,1032,301,885,1239,20,2003
6347,"EasyJet",25,89,51,116,884,155,184,257,5,1995
6348,"SunExpress",28,63,68,104,890,260,725,1015,15,2009
6349,"Jet2.com",23,66,35,79,1070,139,282,394,25,1982
6350,"TAP Portugal",31,54,62,112,1141,262,697,975,14,1990
6351,"Kuwait Airways",39,50,60,88,927,194,491,687,19,1981
6352,"Air Mauritius",32,79,69,109,1240,284,811,1135,8,1993
6353,"Virgin Atlantic",33,82,35,98,921,174,353,494,11,2017
6354,"airBaltic",25,92,35,95,1268,279,855,1197,9,1983
6355,"Norwegian",28,51,41,66,981,113,222,310,19,2002
6356,"Citilink",22,74,40,96,959,284,871,1219,7,2017
6357,"LEVEL",38,94,50,106,1091,146,186,260,5,1986
6358,"Jetstar Asia",21,72,67,93,902,181,408,571,18,1992
6359,"LOT",22,97,57,88,1125,121,157,219,22,2007
6360,"Rex Airlines",36,117,47,52,905,169,545,763,23,1999
6361,"flyDubai",36,59,61,87,1250,123,170,238,17,2000
6362,"Eurowings",22,58,69,86,1161,212,585,819,23,1980
6363,"Philippine Airlines",29,93,67,71,1121,212,656,918,10,2020
6364,"JetBlue Airways",22,68,46,59,845,228,787,1101,10,1982
6365,"Thai Airways",24,66,74,63,1248,149,400,560,22,2013
6366,"Korean Air",40,52,70,97,961,279,846,1184,21,2018
6367,"Quatar Airways",22,90,70,92,1166,167,352,492,5,2021
6368,"Air Astana",23,71,78,96,1198,245,694,971,20,1989
6369," Air Canada",31,86,57,119,921,170,238,333,11,2013
6370,"Air Dolomiti",38,70,74,53,1007,230,824,1153,24,2020
6371,"SAS Scandinavian",35,98,45,93,980,129,171,239,7,1984
6372,"Iberia",29,70,60,78,852,264,864,1209,6,2002
6373,"EVA Air",21,52,46,75,869,121,214,299,7,2018
6374,"Kuwait Airways",25,102,56,75,1066,179,485,679,6,2020
6375,"Ryanair",25,59,55,78,1299,155,358,501,16,2013
6376,"Azul Airlines",32,90,62,95,1212,190,443,620,11,1984
6377,"Air Mauritius",24,83,65,115,993,191,354,495,15,2000
6378,"China Airlines",34,82,62,67,1101,188,564,789,21,1991
6379," Qantas Airways",39,63,35,104,1207,156,243,340,8,1986
6380,"China Eastern Airlines",25,57,56,59,1262,176,543,760,4,1999
6381,"Emirates",26,119,40,58,1054,161,481,673,19,2012
6382,"Vueling Airlines",29,84,53,118,1231,261,664,929,11,2006
6383,"Asiana Airlines",31,86,43,82,1031,191,505,707,22,2013
6384,"Bangkok Airways",26,86,47,84,1244,205,562,786,20,1997
6385,"Vietnam Airlines",21,68,58,118,806,163,212,296,9,2013
6386,"Aer Lingus",36,83,70,62,1049,251,878,1229,18,1982
6387,"Japan Airlines",30,93,68,86,916,181,440,616,25,1986
6388,"Vistara",27,86,59,72,1183,176,482,674,10,1999
6389,"American Eagle",25,115,56,111,879,186,352,492,13,1993
6390,"JetSmart",20,110,65,52,1176,216,764,1069,17,1982
6391,"China Southern Airlines",40,83,57,73,1164,151,365,511,14,2019
6392,"American Airlines",39,88,68,80,1255,160,373,522,12,2020
6393,"TAP Portugal",30,104,39,100,1250,159,277,387,21,2012
6394,"Cathay Pacific Airways",36,90,56,85,837,195,514,719,22,2009
6395,"Scoot",24,92,40,92,987,138,214,299,5,1994
6396,"Thai Airways",38,107,73,111,1299,264,710,994,4,2017
6397,"Air Mauritius",38,67,66,59,1084,136,358,501,9,2001
6398,"Emirates",26,98,48,86,1021,279,898,1257,11,2003
6399,"Aer Lingus",38,107,49,84,1108,158,347,485,19,2015
6400,"Eurowings",39,94,57,94,1072,216,566,792,8,2020
6401,"Scoot",30,101,43,76,1298,145,321,449,11,2007
6402,"Alaska Airlines",34,93,49,73,953,193,558,781,8,1992
6403,"Southwest Airlines",35,74,69,107,1015,159,242,338,15,2013
6404,"British Airways",29,75,47,59,1118,224,767,1073,5,1992
6405,"Royal Brunei Airlines",28,53,59,119,915,269,698,977,7,1985
6406,"Delta Air Lines",32,58,42,73,1253,244,794,1111,6,1988
6407,"Singapore Airlines",22,71,68,110,820,193,385,539,9,2007
6408,"China Southern Airlines",24,90,79,72,874,236,764,1069,13,1984
6409,"Copa Airlines",34,72,43,91,1138,162,329,460,6,1984
6410,"China Southern Airlines",37,89,70,107,896,190,387,541,5,2021
6411,"Jet2.com",22,58,51,98,1287,255,731,1023,24,2015
